"OBJECTID","GEN","BEZ","BL","BL_ID","county"
1,"Flensburg","Kreisfreie Stadt","Schleswig-Holstein",1,"SK Flensburg"
2,"Kiel","Kreisfreie Stadt","Schleswig-Holstein",1,"SK Kiel"
3,"Lübeck","Kreisfreie Stadt","Schleswig-Holstein",1,"SK Lübeck"
4,"Neumünster","Kreisfreie Stadt","Schleswig-Holstein",1,"SK Neumünster"
5,"Dithmarschen","Kreis","Schleswig-Holstein",1,"LK Dithmarschen"
6,"Herzogtum Lauenburg","Kreis","Schleswig-Holstein",1,"LK Herzogtum Lauenburg"
7,"Nordfriesland","Kreis","Schleswig-Holstein",1,"LK Nordfriesland"
8,"Ostholstein","Kreis","Schleswig-Holstein",1,"LK Ostholstein"
9,"Pinneberg","Kreis","Schleswig-Holstein",1,"LK Pinneberg"
10,"Plön","Kreis","Schleswig-Holstein",1,"LK Plön"
11,"Rendsburg-Eckernförde","Kreis","Schleswig-Holstein",1,"LK Rendsburg-Eckernförde"
12,"Schleswig-Flensburg","Kreis","Schleswig-Holstein",1,"LK Schleswig-Flensburg"
13,"Segeberg","Kreis","Schleswig-Holstein",1,"LK Segeberg"
14,"Steinburg","Kreis","Schleswig-Holstein",1,"LK Steinburg"
15,"Stormarn","Kreis","Schleswig-Holstein",1,"LK Stormarn"
16,"Hamburg","Kreisfreie Stadt","Hamburg",2,"SK Hamburg"
17,"Braunschweig","Kreisfreie Stadt","Niedersachsen",3,"SK Braunschweig"
18,"Salzgitter","Kreisfreie Stadt","Niedersachsen",3,"SK Salzgitter"
19,"Wolfsburg","Kreisfreie Stadt","Niedersachsen",3,"SK Wolfsburg"
20,"Gifhorn","Landkreis","Niedersachsen",3,"LK Gifhorn"
21,"Goslar","Landkreis","Niedersachsen",3,"LK Goslar"
22,"Helmstedt","Landkreis","Niedersachsen",3,"LK Helmstedt"
23,"Northeim","Landkreis","Niedersachsen",3,"LK Northeim"
24,"Peine","Landkreis","Niedersachsen",3,"LK Peine"
25,"Wolfenbüttel","Landkreis","Niedersachsen",3,"LK Wolfenbüttel"
26,"Göttingen","Landkreis","Niedersachsen",3,"LK Göttingen"
27,"Region Hannover","Landkreis","Niedersachsen",3,"Region Hannover"
28,"Diepholz","Landkreis","Niedersachsen",3,"LK Diepholz"
29,"Hameln-Pyrmont","Landkreis","Niedersachsen",3,"LK Hameln-Pyrmont"
30,"Hildesheim","Landkreis","Niedersachsen",3,"LK Hildesheim"
31,"Holzminden","Landkreis","Niedersachsen",3,"LK Holzminden"
32,"Nienburg (Weser)","Landkreis","Niedersachsen",3,"LK Nienburg (Weser)"
33,"Schaumburg","Landkreis","Niedersachsen",3,"LK Schaumburg"
34,"Celle","Landkreis","Niedersachsen",3,"LK Celle"
35,"Cuxhaven","Landkreis","Niedersachsen",3,"LK Cuxhaven"
36,"Harburg","Landkreis","Niedersachsen",3,"LK Harburg"
37,"Lüchow-Dannenberg","Landkreis","Niedersachsen",3,"LK Lüchow-Dannenberg"
38,"Lüneburg","Landkreis","Niedersachsen",3,"LK Lüneburg"
39,"Osterholz","Landkreis","Niedersachsen",3,"LK Osterholz"
40,"Rotenburg (Wümme)","Landkreis","Niedersachsen",3,"LK Rotenburg (Wümme)"
41,"Heidekreis","Landkreis","Niedersachsen",3,"LK Heidekreis"
42,"Stade","Landkreis","Niedersachsen",3,"LK Stade"
43,"Uelzen","Landkreis","Niedersachsen",3,"LK Uelzen"
44,"Verden","Landkreis","Niedersachsen",3,"LK Verden"
45,"Delmenhorst","Kreisfreie Stadt","Niedersachsen",3,"SK Delmenhorst"
46,"Emden","Kreisfreie Stadt","Niedersachsen",3,"SK Emden"
47,"Oldenburg (Oldb)","Kreisfreie Stadt","Niedersachsen",3,"SK Oldenburg"
48,"Osnabrück","Kreisfreie Stadt","Niedersachsen",3,"SK Osnabrück"
49,"Wilhelmshaven","Kreisfreie Stadt","Niedersachsen",3,"SK Wilhelmshaven"
50,"Ammerland","Landkreis","Niedersachsen",3,"LK Ammerland"
51,"Aurich","Landkreis","Niedersachsen",3,"LK Aurich"
52,"Cloppenburg","Landkreis","Niedersachsen",3,"LK Cloppenburg"
53,"Emsland","Landkreis","Niedersachsen",3,"LK Emsland"
54,"Friesland","Landkreis","Niedersachsen",3,"LK Friesland"
55,"Grafschaft Bentheim","Landkreis","Niedersachsen",3,"LK Grafschaft Bentheim"
56,"Leer","Landkreis","Niedersachsen",3,"LK Leer"
57,"Oldenburg","Landkreis","Niedersachsen",3,"LK Oldenburg"
58,"Osnabrück","Landkreis","Niedersachsen",3,"LK Osnabrück"
59,"Vechta","Landkreis","Niedersachsen",3,"LK Vechta"
60,"Wesermarsch","Landkreis","Niedersachsen",3,"LK Wesermarsch"
61,"Wittmund","Landkreis","Niedersachsen",3,"LK Wittmund"
62,"Bremen","Kreisfreie Stadt","Bremen",4,"SK Bremen"
63,"Bremerhaven","Kreisfreie Stadt","Bremen",4,"SK Bremerhaven"
64,"Düsseldorf","Kreisfreie Stadt","Nordrhein-Westfalen",5,"SK Düsseldorf"
65,"Duisburg","Kreisfreie Stadt","Nordrhein-Westfalen",5,"SK Duisburg"
66,"Essen","Kreisfreie Stadt","Nordrhein-Westfalen",5,"SK Essen"
67,"Krefeld","Kreisfreie Stadt","Nordrhein-Westfalen",5,"SK Krefeld"
68,"Mönchengladbach","Kreisfreie Stadt","Nordrhein-Westfalen",5,"SK Mönchengladbach"
69,"Mülheim an der Ruhr","Kreisfreie Stadt","Nordrhein-Westfalen",5,"SK Mülheim a.d.Ruhr"
70,"Oberhausen","Kreisfreie Stadt","Nordrhein-Westfalen",5,"SK Oberhausen"
71,"Remscheid","Kreisfreie Stadt","Nordrhein-Westfalen",5,"SK Remscheid"
72,"Solingen","Kreisfreie Stadt","Nordrhein-Westfalen",5,"SK Solingen"
73,"Wuppertal","Kreisfreie Stadt","Nordrhein-Westfalen",5,"SK Wuppertal"
74,"Kleve","Kreis","Nordrhein-Westfalen",5,"LK Kleve"
75,"Mettmann","Kreis","Nordrhein-Westfalen",5,"LK Mettmann"
76,"Rhein-Kreis Neuss","Kreis","Nordrhein-Westfalen",5,"LK Rhein-Kreis Neuss"
77,"Viersen","Kreis","Nordrhein-Westfalen",5,"LK Viersen"
78,"Wesel","Kreis","Nordrhein-Westfalen",5,"LK Wesel"
79,"Bonn","Kreisfreie Stadt","Nordrhein-Westfalen",5,"SK Bonn"
80,"Köln","Kreisfreie Stadt","Nordrhein-Westfalen",5,"SK Köln"
81,"Leverkusen","Kreisfreie Stadt","Nordrhein-Westfalen",5,"SK Leverkusen"
82,"Städteregion Aachen","Kreis","Nordrhein-Westfalen",5,"StadtRegion Aachen"
83,"Düren","Kreis","Nordrhein-Westfalen",5,"LK Düren"
84,"Rhein-Erft-Kreis","Kreis","Nordrhein-Westfalen",5,"LK Rhein-Erft-Kreis"
85,"Euskirchen","Kreis","Nordrhein-Westfalen",5,"LK Euskirchen"
